Code,Name,Median_2001,Median_2011
E01000398,Bexley 029A,24790.00,33900.00
E01000399,Bexley 029B,26960.00,36290.00
E01000400,Bexley 029C,26380.00,35690.00
E01000401,Bexley 013A,24930.00,34250.00
E01000402,Bexley 005B,23670.00,34020.00
E01000403,Bexley 004A,22720.00,32910.00
E01000404,Bexley 004B,24390.00,32680.00
E01000405,Bexley 004C,24090.00,33680.00
E01000406,Bexley 005C,24500.00,33740.00
E01000407,Bexley 005D,24630.00,34230.00
E01000408,Bexley 004D,23430.00,33300.00
E01000409,Bexley 016C,27400.00,38390.00
E01000410,Bexley 018D,27680.00,38920.00
E01000411,Bexley 016D,27420.00,37860.00
E01000412,Bexley 018E,27230.00,39640.00
E01000413,Bexley 018F,27270.00,37960.00
E01000414,Bexley 016E,26590.00,36530.00
E01000415,Bexley 016F,29050.00,39920.00
E01000416,Bexley 002A,22350.00,33510.00
E01000417,Bexley 006B,24730.00,36360.00
E01000418,Bexley 002B,23770.00,33670.00
E01000419,Bexley 006C,25580.00,37210.00
E01000420,Bexley 006D,25770.00,37890.00
E01000421,Bexley 009D,26760.00,37290.00
E01000422,Bexley 002C,21670.00,30030.00
E01000423,Bexley 025C,30010.00,42380.00
E01000424,Bexley 026A,29820.00,41150.00
E01000425,Bexley 025D,31000.00,42790.00
E01000426,Bexley 026B,28770.00,39880.00
E01000427,Bexley 026C,27710.00,37440.00
E01000428,Bexley 027D,27890.00,37380.00
E01000429,Bexley 008B,21500.00,29360.00
E01000430,Bexley 008C,23710.00,33160.00
E01000431,Bexley 008D,20880.00,29590.00
E01000432,Bexley 008E,21370.00,30920.00
E01000433,Bexley 008F,20570.00,29910.00
