Code,Area,price_m_2001
E01000544,Brent 034A,100000.00
E01000545,Brent 028A,100000.00
E01000546,Brent 028B,100000.00
E01000547,Brent 028C,100000.00
E01000548,Brent 028D,100000.00
E01000549,Brent 028E,100000.00
E01000550,Brent 034B,100000.00
E01000551,Brent 034C,100000.00
E01000552,Brent 034D,100000.00
E01000553,Brent 015A,100000.00
E01000554,Brent 015B,100000.00
E01000555,Brent 015C,100000.00
E01000556,Brent 015D,100250.00
E01000557,Brent 015E,100250.00
E01000558,Brent 015F,100250.00
E01000559,Brent 018E,100500.00
E01000560,Brent 023D,100500.00
E01000561,Brent 023E,100747.50
E01000562,Brent 008A,100750.00
E01000563,Brent 008B,100975.00
E01000564,Brent 013A,101000.00
E01000565,Brent 013B,101000.00
E01000566,Brent 008C,101000.00
E01000567,Brent 016A,101000.00
E01000568,Brent 008D,101000.00
E01000569,Brent 008E,101000.00
E01000570,Brent 012A,101250.00
E01000571,Brent 012B,101495.00
E01000572,Brent 007A,101500.00
E01000573,Brent 007B,101500.00
E01000574,Brent 007C,101975.00
E01000575,Brent 007D,102000.00
E01000576,Brent 012C,102000.00
E01000577,Brent 007E,102000.00
E01000578,Brent 012D,102000.00
E01000579,Brent 032A,102000.00
E01000580,Brent 032B,102000.00
E01000581,Brent 030E,102000.00
E01000582,Brent 032C,102000.00
E01000583,Brent 032D,102500.00
E01000584,Brent 033E,102500.00
E01000585,Brent 033F,102500.00
E01000586,Brent 032E,102500.00
E01000587,Brent 001A,102500.00
E01000588,Brent 002E,102500.00
E01000589,Brent 001B,102500.00
E01000590,Brent 001C,102500.00
E01000591,Brent 003F,102750.00
E01000592,Brent 001D,102950.00
E01000593,Brent 001E,103000.00
E01000594,Brent 001F,103000.00
E01000595,Brent 027A,103000.00
E01000596,Brent 021A,103000.00
E01000599,Brent 027D,103000.00
E01000600,Brent 027E,103000.00
E01000601,Brent 021B,103000.00
E01000602,Brent 021C,103000.00
E01000603,Brent 021D,103500.00
E01000604,Brent 021E,103725.00
E01000605,Brent 021F,103750.00
E01000606,Brent 016B,103750.00
E01000607,Brent 013C,103750.00
E01000608,Brent 013D,103750.00
E01000609,Brent 016C,103917.00
E01000610,Brent 019A,103997.50
E01000611,Brent 016D,104000.00
E01000612,Brent 019B,104000.00
E01000613,Brent 013E,104000.00
E01000615,Brent 017B,104000.00
